point_a,point_b,distance_m,diff_mm,flag
VO02_113,VO02_114,1.434,-1,OK
VO02_117,VO02_118,1.432,-3,OK
VO02_121,VO02_122,1.436,1,OK
VO02_125,VO02_126,1.436,1,OK
VO02_129,VO02_130,1.437,2,OK
VO02_133,VO02_134,1.439,4,OK
VO02_137,VO02_138,1.435,0,OK
VO02_141,VO02_142,1.435,0,OK
VO02_145,VO02_146,1.437,2,OK
VO02_149,VO02_150,1.435,0,OK
VO02_153,VO02_154,1.434,-1,OK
VO02_157,VO02_158,1.435,0,OK
VO02_161,VO02_162,1.440,5,OK
VO02_165,VO02_166,1.437,2,OK
VO02_169,VO02_170,1.433,-2,OK
VO02_173,VO02_174,1.438,3,OK
VO02_177,VO02_178,1.434,-1,OK
VO02_181,VO02_182,1.438,3,OK
VO02_185,VO02_186,1.435,0,OK
VO02_189,VO02_190,1.433,-2,OK
VO02_193,VO02_194,1.434,-1,OK
VO02_197,VO02_198,1.435,0,OK
VO02_201,VO02_202,1.436,1,OK
VO02_205,VO02_206,1.429,-6,ALERT
VO02_209,VO02_210,1.436,1,OK
VO02_213,VO02_214,1.435,0,OK
VO02_217,VO02_218,1.433,-2,OK
VO02_221,VO02_222,1.435,0,OK
VO02_289,VO02_290,1.443,8,ALERT
VO02_293,VO02_294,1.435,0,OK
VO02_297,VO02_298,1.434,-1,OK
VO02_301,VO02_302,1.435,0,OK
VO02_305,VO02_306,1.434,-1,OK
VO02_309,VO02_310,1.431,-4,OK
VO02_313,VO02_314,1.434,-1,OK
VO02_317,VO02_318,1.435,0,OK
VO02_321,VO02_322,1.434,-1,OK
VO02_325,VO02_326,1.433,-2,OK
VO02_329,VO02_330,1.436,1,OK
VO02_333,VO02_334,1.434,-1,OK
VO02_337,VO02_338,1.432,-3,OK
VO02_341,VO02_342,1.432,-3,OK
VO02_345,VO02_346,1.435,0,OK
VO02_349,VO02_350,1.429,-6,ALERT
VO02_373,VO02_374,1.437,2,OK
VO02_377,VO02_378,1.432,-3,OK
VO02_381,VO02_382,1.437,2,OK
VO02_385,VO02_386,1.437,2,OK
VO02_389,VO02_390,1.440,5,OK
VO02_393,VO02_394,1.436,1,OK
